Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
causa				10101001111
entrar				101010100000
tuviese				101010100001
nadie				101010100010
comenzó				101010100011
acabar				101010100100
dejar				101010100101
hoy				10101010011
según				101010101000
dieron				101010101001
valor				10101010101
persona				101010101100
rey				101010101101
gigante,				10101010111
Panza				101010110000
oído				101010110001
creo				10101011001
armas,				101010110100
brazos,				101010110101
caer				10101011011
veces				101010111000
unos				101010111001
ansimesmo				10101011101
aun				101010111100
caso				101010111101
tantas				10101011111
cura,				101011000000
gusto,				101011000001
decía				101011000010
Todo				101011000011
falta				101011000100
muerto				101011000101
vuestras				10101100011
parecer,				101011001000
enemigo				101011001001
alguno				10101100101
reina				101011001100
hicieron				101011001101
siempre				10101100111
hacienda,				101011010000
hablar				101011010001
ejercicio				101011010010
orden				101011010011
años				101011010100
poner				101011010101
cargo				101011010110
sabía				101011010111
frío,				101011011000
podrá				101011011001
dolor				101011011010
cierto				101011011011
particular				101011011100
quedaron				101011011101
dos,				10101101111
galera				101011100000
diciendo				101011100001
contenta				101011100010
perder				101011100011
fuerte				101011100100
soldado				101011100101
tales				101011100110
términos				101011100111
estudiante				101011101000
setenta				101011101001
valeroso				101011101010
mora,				101011101011
voz				101011101100
cuerno				101011101101
Con				10101110111
estar				101011110000
quedó				101011110001
sentimiento				101011110010
confusión				101011110011
dijese				101011110100
adonde				101011110101
alguna;				101011110110
esté				101011110111
también				101011111000
habéis				101011111001
hecho,				101011111010
Tú				101011111011
efeto,				101011111100
nuestra				101011111101
aún				10101111111
edad				101100000000
letras,				101100000001
algunas				101100000010
pudiera				101100000011
pudiese				101100000100
gracia				101100000101
hermosura				101100000110
va				101100000111
amigo				101100001000
salir				101100001001
bondad				101100001010
ventero,				101100001011
respondió				101100001100
soldado.				101100001101
capitana				101100001110
temor				101100001111
tarde				101100010000
venta,				101100010001
levantar				101100010010
deseo				101100010011
desde				101100010100
conoció				101100010101
enojo,				101100010110
cuatro				101100010111
buenos				101100011000
traía				101100011001
esperar				101100011010
éste				101100011011
lágrimas,				101100011100
caballeros				101100011101
levantó				10110001111
ventura				101100100000
monesterio,				101100100001
trabajos				101100100010
sola				101100100011
irse				101100100100
turcos				101100100101
experiencia				101100100110
jamás				101100100111
fuerte,				101100101000
nuestros				101100101001
rico,				101100101010
poca				101100101011
hermano				101100101100
ánimo				101100101101
manera,				101100101110
están				101100101111
breves				101100110000
duda				101100110001
noche,				101100110010
querer				101100110011
Constantinopla,				101100110100
venido				101100110101
día,				101100110110
Goleta				101100110111
pasar				101100111000
habiendo				101100111001
ella,				101100111010
señal				101100111011
espada,				101100111100
venían				101100111101
muestra				10110011111
armada				101101000000
cura.				101101000001
suerte				101101000010
llevó				101101000011
hubiese				101101000100
digo,				101101000101
parecía				101101000110
llegado				101101000111
si,				101101001000
cautivo-				101101001001
suceso				101101001010
especialmente				101101001011
tenía,				101101001100
hija				101101001101
pobre				101101001110
padre,				101101001111
estando				101101010000
verá				101101010001
amor				101101010010
palabras				101101010011
verdad,				101101010100
soldados				101101010101
ciudad,				101101010110
guarda				101101010111
ventaja				1011010110000
haberle				1011010110001
alárabes				101101011001
suele				101101011010
Dijo				101101011011
conservar				1011010111000
famosa				1011010111001
dijo,				101101011101
llamado				101101011110
era,				101101011111
razones,				1011011000000
señores,				1011011000001
-Pues				101101100001
seguir				1011011000100
cosa,				1011011000101
esposo.				101101100011
Sancho-,				1011011001000
estaban,				1011011001001
pérdida				101101100101
hiciese;				101101100110
letrado				101101100111
corta				1011011010000
otro,				1011011010001
mil,				101101101001
paso				101101101010
daré				101101101011
tres,				1011011011000
cuesta				1011011011001
pecho,				101101101101
camino,				101101101110
pusieron				101101101111
dejando				1011011100000
mar				1011011100001
todavía				101101110001
cubierto				101101110010
mi,				101101110011
cuchilladas				1011011101000
tiempo,				1011011101001
dé				101101110101
mar,				101101110110
caminos				101101110111
condado				1011011110000
diciendo:				1011011110001
aliento				101101111001
entonces				101101111010
cuyo				101101111011
enemigos				1011011111000
daba,				1011011111001
mostró				101101111101
estoy				101101111110
cristianos				101101111111
acabó				1011100000000
estuviera				1011100000001
hallaba				101110000001
mozos				1011100000100
hallado				1011100000101
pagar				101110000011
valer				1011100001000
ojos,				1011100001001
cuerpo				101110000101
ventera,				101110000110
eso				101110000111
lejos				1011100010000
Lo				1011100010001
merced,				101110001001
grandes				101110001010
respondió:				101110001011
alguna,				1011100011000
rodillas				1011100011001
veinte				101110001101
doncella				101110001110
