Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
primero				111000001101
causa				110111101100
entrar				111000010100
tuviese				111001001101
nadie				111011101010
comenzó				111000010101
acabar				111001001010
dejar				111000010111
hoy				111001101111
según				111001010000
dieron				111001001000
valor				111001100111
persona				111001100110
rey				111001011000
gigante,				110111110101
Panza				111000000110
oído				111000001111
creo				111001000000
armas,				111000101110
brazos,				111000101111
caer				111000010110
veces				111001010011
unos				111000000100
ansimesmo				111001010010
aun				110100101110
caso				110100101111
tantas				110111110001
cura,				111000010000
gusto,				110111110111
decía				111000000101
Todo				110111110010
falta				111001001011
muerto				111000110111
vuestras				111001101011
parecer,				111000110110
enemigo				111001001111
alguno				111000001110
reina				111001001110
hicieron				101000010110
siempre				101110010010
hacienda,				101111010001
hablar				100111101010
ejercicio				100010011010
orden				101101010001
años				110000001111
poner				101100100000
cargo				110000101010
sabía				101101000100
frío,				101001000011
podrá				011111111111
dolor				101111111001
cierto				101001000010
particular				100001110001
quedaron				100001100011
dos,				100000111101
galera				100000011010
diciendo				100110010010
contenta				101001110010
perder				100100110011
fuerte				011110101110
soldado				100100000001
tales				011110101001
términos				110000110101
estudiante				101011010001
setenta				101000110010
valeroso				100111100010
mora,				101001110100
voz				101011000011
cuerno				100011001110
Con				110000101101
estar				100101110000
quedó				100110111100
sentimiento				101010000111
confusión				100110111010
dijese				101001100100
adonde				101100101000
alguna;				101101110010
esté				101001101101
también				100110000100
habéis				101000011010
hecho,				100111100100
Tú				011111101001
efeto,				101010011100
nuestra				101000111101
aún				100111000111
edad				101000011110
letras,				100101011111
algunas				110000101011
pudiera				101111011101
pudiese				011111001111
gracia				100101110111
hermosura				101110000000
va				101111101000
amigo				101111110011
salir				100101100101
bondad				100100110100
ventero,				100001100110
respondió				100101000100
soldado.				101110011110
capitana				100011001111
temor				100110100100
tarde				101011010101
venta,				110000001001
levantar				100001001110
deseo				011111011010
desde				100010000011
conoció				100000111010
enojo,				100110101111
cuatro				101100010001
buenos				100010101001
traía				101010010101
esperar				101011100101
éste				101001100001
lágrimas,				110000100000
caballeros				100111001100
levantó				100111001101
ventura				101101010111
monesterio,				100101001001
trabajos				101101101001
sola				101010100011
irse				011110101101
turcos				101010011011
experiencia				110000011111
jamás				100110100010
fuerte,				101101001110
nuestros				011011111100
rico,				100010000111
poca				100111100111
hermano				100000011000
ánimo				100100101010
manera,				100110111110
están				100100000101
breves				011110110110
duda				101010110110
noche,				100011100111
querer				101000000001
Constantinopla,				101011101110
venido				101110010111
día,				100000110110
Goleta				101101100100
pasar				011110110011
habiendo				100101110110
ella,				110000010000
señal				101110010000
espada,				100000010010
venían				101111100101
muestra				101000000000
armada				101100011000
cura.				100110101100
suerte				101110011000
llevó				101111100100
hubiese				011110100100
digo,				100101010101
parecía				100011101010
llegado				100101001100
si,				011110110010
cautivo-				100011100100
suceso				101101100011
especialmente				100111111010
tenía,				100100110000
hija				101110100101
pobre				100101100100
padre,				101101100000
estando				110000110110
verá				101101111010
amor				100010001011
palabras				101110001111
verdad,				101100010101
soldados				100010110010
ciudad,				1110111010110
guarda				001100101110
ventaja				000110110111
haberle				001010111110
alárabes				000110100110
suele				000110100111
Dijo				000110100101
conservar				000110011111
famosa				000110011100
dijo,				000110011000
llamado				000110011001
era,				000110011010
razones,				001100101001
señores,				000110011011
-Pues				001011010010
seguir				001100101101
cosa,				001011101100
esposo.				001011101101
Sancho-,				001100101111
estaban,				000111111100
pérdida				000111111101
hiciese;				000111111110
letrado				001100101011
corta				000111010011
otro,				001100110000
mil,				000111010000
paso				001011100100
daré				001011100111
tres,				001011100101
cuesta				001100110010
pecho,				001011101111
camino,				000111011110
pusieron				000111011111
dejando				001011110101
mar				001011110110
todavía				001010000101
cubierto				001010001100
mi,				001010001110
cuchilladas				001010001111
tiempo,				000100101010
dé				000100101011
mar,				000100101001
caminos				000100101110
condado				001100100111
diciendo:				001100100110
aliento				001100100101
entonces				001010000110
cuyo				000100100010
enemigos				000100100011
daba,				001011011000
mostró				001011011001
estoy				001011100001
cristianos				000100100000
acabó				000100100111
estuviera				001011100010
hallaba				000100110000
mozos				000100110001
hallado				000100110011
pagar				001010101010
valer				000111111011
ojos,				001010101001
cuerpo				001010101111
ventera,				000110100010
eso				001100110110
lejos				001100110111
Lo				000110100011
merced,				001010101011
grandes				001011111000
respondió:				000111111010
alguna,				001010101000
rodillas				001010101110
veinte				001011111001
doncella				000100110010
aquellas				001011100011
Los				000100100001
mujeres				000100100110
dice				001011100000
fuerza;				000100100101
Anselmo,				000100100100
Anselmo.				001100100100
hábito				001010000111
llevado				000100101111
Dios,				001100110101
dicen				000100101100
ello				000100101101
sucesos				000100101000
esposo				001100110100
dije				001010001101
testigos				001010000100
pensar				001011110111
partes,				001011110100
pero,				001011101110
lleno				001101001010
pude				001100110011
barbero,				001011100110
noble				001101001011
sean				000111010001
sí,				001100110001
vestido,				000111010010
venia				000110110001
tenido				000111000111
cabecera				000111000110
dellos				001100101010
Lotario,				000111111111
curioso				000110001010
viaje				001100101100
sepa				001011010011
soldado,				000110101101
término				000110001011
hallaron				001100101000
buenas				000110011101
lado				000110011110
veamos				000111110011
parecer				000110101100
cierto,				000110100100
Triste				001011010111
-Ahora				001011010110
poder,				001010010000
perdido				001111101001
guerra,				001010010001
bueno				001111101000
suelen				000110101111
tronco				001010110101
diciéndole				000110101110
año				001011001000
ciudad				001010111011
abrazó				001010110100
mujer,				001011001001
adelante				001010111010
campaña				001011010001
tras				001011010000
nosotros				001011000100
suelo,				001010110111
forzoso				001010110110
tierra.				001011000101
contó				001010111111
caballeros,				1110111010111
estuvo				000111011000
nunca				000110110110
pueden				000111011011
finalmente,				000111110010
triste				000111011010
encaminar				001011000110
espíritu				011010011000
hallar				001100001110
hora				001100001111
haría				000111100000
vida;				001010111100
trata				000111100001
monesterio				001011000111
respeto,				000111011101
lágrimas				000111001001
conocido				000111001000
Dorotea.				001011011100
cama,				000111001011
embozo,				001010111101
consigo				000111001010
mercedes				001101110001
libertad,				001101110000
determinación				000111001110
verdadera				000111001111
pone				000111001100
dineros,				000111001101
dineros				000111000000
Estas				000111011100
espacio				001011011111
-replicó				001011011110
gigante;				000110110000
echó				001011101000
deshonra,				001010000010
pueda				001011101001
mostraba				001010000001
boca				001100001000
nobleza				001100001011
escrito				001011000000
modo				001011000011
debajo				000111100011
caballo,				000001011110
menoscabo				001101011110
compañía				000110110011
testigo				000111111001
Preguntó				000001011101
Por				001100100000
claramente				000110110100
antes,				001100100001
cama				000110101011
-Bien				001011000010
sintió				001110110010
prosiguió				001110110001
parte,				001011000001
decía,				000111010111
tanta,				000111000011
mora				000111000010
vine				000111010110
sal				001100100011
mismo				000111010100
ganado				001100100010
diciéndole:				001110110011
Quijote-,				000111000001
adelante,				000110101001
promesas				000110101000
presteza				001110110000
dejado				000110101010
lastimada				001100001100
felicísima				001100001101
Leonela,				000110110101
tenían				000111110000
fácil				000110110010
soldados,				000111110001
perdió				000111111000
imaginación				000111010101
