Cantidad de simbolos = 4153
Longitud media = 9.355229149593251
Rendimiento = 0.9953819652238401
Redundancia = 0.004618034776159852

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
primero				101010100001
causa				101010100010
entrar				101010100011
tuviese				101010100100
nadie				101010100101
comenzó				10101010011
acabar				101010101000
dejar				101010101001
hoy				10101010101
según				101010101100
dieron				101010101101
valor				10101010111
persona				101010110000
rey				101010110001
gigante,				10101011001
Panza				101010110100
oído				101010110101
creo				10101011011
armas,				101010111000
brazos,				101010111001
caer				10101011101
veces				101010111100
unos				101010111101
ansimesmo				10101011111
aun				101011000000
caso				101011000001
tantas				10101100001
cura,				101011000100
gusto,				101011000101
decía				10101100011
Todo				101011001000
falta				101011001001
muerto				10101100101
vuestras				101011001100
parecer,				101011001101
enemigo				10101100111
alguno				10101101000
reina				101011010010
hicieron				101011010011
siempre				101011010100
hacienda,				101011010101
hablar				101011010110
ejercicio				101011010111
orden				101011011000
años				101011011001
poner				101011011010
cargo				101011011011
sabía				101011011100
frío,				101011011101
podrá				101011011110
dolor				101011011111
cierto				101011100000
particular				101011100001
quedaron				101011100010
dos,				101011100011
galera				101011100100
diciendo				101011100101
contenta				101011100110
perder				101011100111
fuerte				101011101000
soldado				101011101001
tales				101011101010
términos				101011101011
estudiante				101011101100
setenta				101011101101
valeroso				101011101110
mora,				101011101111
voz				101011110000
cuerno				101011110001
Con				101011110010
estar				101011110011
quedó				101011110100
sentimiento				101011110101
confusión				101011110110
dijese				101011110111
adonde				101011111000
alguna;				101011111001
esté				101011111010
también				101011111011
habéis				101011111100
hecho,				101011111101
Tú				10101111111
efeto,				101100000000
nuestra				101100000001
aún				101100000010
edad				101100000011
letras,				101100000100
algunas				101100000101
pudiera				101100000110
pudiese				101100000111
gracia				101100001000
hermosura				101100001001
va				101100001010
amigo				101100001011
salir				101100001100
bondad				101100001101
ventero,				101100001110
respondió				101100001111
soldado.				101100010000
capitana				101100010001
temor				101100010010
tarde				101100010011
venta,				101100010100
levantar				101100010101
deseo				101100010110
desde				101100010111
conoció				101100011000
enojo,				101100011001
cuatro				101100011010
buenos				101100011011
traía				101100011100
esperar				101100011101
éste				10110001111
lágrimas,				101100100000
caballeros				101100100001
levantó				101100100010
ventura				101100100011
monesterio,				101100100100
trabajos				101100100101
sola				101100100110
irse				101100100111
turcos				101100101000
experiencia				101100101001
jamás				101100101010
fuerte,				101100101011
nuestros				101100101100
rico,				101100101101
poca				101100101110
hermano				101100101111
ánimo				101100110000
manera,				101100110001
están				101100110010
breves				101100110011
duda				101100110100
noche,				101100110101
querer				101100110110
Constantinopla,				101100110111
venido				101100111000
día,				101100111001
Goleta				101100111010
pasar				101100111011
habiendo				101100111100
ella,				101100111101
señal				10110011111
espada,				101101000000
venían				101101000001
muestra				101101000010
armada				101101000011
cura.				101101000100
suerte				101101000101
llevó				101101000110
hubiese				101101000111
digo,				101101001000
parecía				101101001001
llegado				101101001010
si,				101101001011
cautivo-				101101001100
